	control_1	control_2	control_3	control_4	opg_1	opg_2	opg_3	opg_4	gtdup_1	gtdup_2	gtdup_3
ENSG00000223972	1	0	0	0	0	0	3	1	1	1	0
ENSG00000227232	22	20	18	15	8	20	23	6	15	19	10
ENSG00000278267	0	1	3	3	3	1	1	3	1	2	2
ENSG00000243485	0	0	1	0	0	0	1	1	0	0	0
ENSG00000284332	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	5	3	6	3	6	4	7	1	4	7	9
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	7	4	14	10	8	2	12	8	9	7	13
ENSG00000268903	218	177	171	221	67	142	97	155	106	91	68
ENSG00000269981	223	195	166	240	81	151	108	139	145	112	54
ENSG00000239906	0	0	0	0	2	1	1	0	1	1	2
ENSG00000241860	31	24	36	46	26	39	24	38	36	35	25
ENSG00000222623	0	0	1	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	3	0	0	4	3	1	0	1	0	0	0
ENSG00000279457	91	90	80	79	56	57	70	77	59	49	34
ENSG00000273874	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	0	0	0	0	0	0	0	1	1	0	0
ENSG00000286448	0	0	1	1	0	0	0	0	0	0	1
ENSG00000236679	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	78	74	100	94	65	64	78	98	110	100	77
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	1	0	0	0	0
ENSG00000250575	0	0	0	2	0	0	1	0	0	0	0
ENSG00000278757	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021	95	77	71	101	70	117	38	57	71	140	46
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	25	23	15	25	12	20	13	11	28	28	12
ENSG00000225630	72	43	28	65	32	64	27	25	40	91	31
ENSG00000237973	442	366	213	418	176	294	197	141	241	437	186
ENSG00000278791	28	16	16	33	15	18	7	12	19	23	21
ENSG00000229344	192	194	93	175	83	123	80	54	124	278	65
ENSG00000240409	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248527	4490	3302	2155	3822	1808	3056	1339	1530	2339	5244	1334
ENSG00000198744	52	59	28	52	29	31	33	25	29	52	23
ENSG00000268663	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	1	1	2	5	2	4	4	3	4	6	3
ENSG00000228327	213	137	131	152	80	119	119	134	136	125	86
ENSG00000223181	0	0	0	0	0	1	0	0	0	0	1
ENSG00000229905	0	0	0	0	0	0	0	0	1	1	1
ENSG00000237491	17	6	46	21	56	61	39	20	61	95	91
ENSG00000285268	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230092	16	14	13	5	8	9	7	8	12	18	10
ENSG00000177757	23	14	14	16	19	16	13	12	16	19	31
ENSG00000228794	68	53	157	75	108	145	100	81	135	183	212
ENSG00000225880	51	59	62	60	39	55	66	51	66	57	39
ENSG00000288531	1	0	0	0	0	0	0	0	0	1	0
ENSG00000230368	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234711	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283040	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438	0	0	0	0	1	0	1	0	1	0	0
ENSG00000230699	0	0	0	0	1	0	0	0	0	0	0
ENSG00000241180	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223764	0	0	0	0	0	0	0	0	0	1	0
ENSG00000187634	6	4	15	7	10	3	13	5	16	15	9
ENSG00000188976	176	225	216	237	158	203	192	214	217	202	171
ENSG00000187961	168	179	124	162	98	139	169	163	138	137	84
ENSG00000187583	0	0	1	0	0	0	0	0	0	3	0
ENSG00000187642	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272512	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188290	0	2	1	0	3	3	0	0	2	4	0
ENSG00000187608	6	16	33	6	13	15	7	6	13	31	19
ENSG00000231702	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224969	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188157	102	122	50	48	60	69	77	38	72	141	46
ENSG00000242590	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	6	2	3	2	3	7	4	3	1	4	2
ENSG00000273443	1	0	2	0	0	4	1	1	1	4	0
ENSG00000237330	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131591	149	124	113	147	89	110	129	140	167	159	89
ENSG00000285812	0	4	7	2	6	3	5	2	2	8	1
ENSG00000223823	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207730	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207607	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198976	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272141	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205231	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162571	0	0	0	0	0	0	0	0	0	2	0
ENSG00000186891	6	5	18	13	12	26	6	3	7	5	2
ENSG00000186827	32	28	24	44	37	69	31	29	58	24	33
ENSG00000078808	400	433	601	593	494	620	446	428	527	749	509
ENSG00000176022	77	83	170	139	112	133	89	93	134	173	134
ENSG00000184163	15	18	7	17	13	25	13	7	17	21	8
ENSG00000260179	0	2	4	7	5	8	9	4	7	14	10
ENSG00000160087	89	120	169	147	135	162	141	137	165	208	165
ENSG00000230415	11	5	4	7	3	5	5	4	6	4	1
ENSG00000162572	39	33	25	51	13	28	30	21	28	24	19
ENSG00000131584	454	525	397	497	322	427	452	473	369	484	213
ENSG00000278073	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169972	69	86	85	100	59	72	75	83	85	84	76
ENSG00000127054	422	390	321	368	242	334	392	402	353	392	258
ENSG00000283712	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240731	5	10	9	14	17	10	12	10	10	17	15
ENSG00000224051	41	68	88	69	63	50	48	28	59	96	124
ENSG00000169962	12	12	14	19	26	13	20	14	18	25	7
ENSG00000107404	196	233	142	214	114	155	165	191	158	174	111
ENSG00000284372	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162576	119	92	131	136	88	99	87	94	119	116	74
ENSG00000175756	55	41	103	84	65	79	69	49	88	114	105
ENSG00000223663	0	0	0	1	0	0	0	1	0	0	0
ENSG00000221978	1365	1234	926	1057	825	1031	1039	1142	1110	1157	820
ENSG00000224870	29	27	83	50	51	46	56	42	60	49	69
ENSG00000242485	64	39	114	67	93	71	63	56	112	99	112
ENSG00000264293	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272455	6	5	13	5	2	9	5	2	9	6	11
ENSG00000235098	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225905	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205116	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225285	0	0	0	3	0	0	2	1	0	0	0
ENSG00000179403	12	19	20	23	13	13	25	18	23	26	20
ENSG00000215915	4	2	1	2	2	1	2	3	0	0	1
ENSG00000160072	213	233	213	263	166	248	202	228	207	227	144
ENSG00000284740	0	0	2	0	0	0	0	0	0	0	0
ENSG00000197785	125	166	153	204	94	146	149	155	119	172	94
ENSG00000205090	0	2	3	4	4	2	2	0	1	1	3
ENSG00000160075	127	76	210	136	169	240	181	135	259	252	304
ENSG00000215014	10	9	15	16	9	22	22	13	9	18	11
ENSG00000274481	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228594	23	34	90	71	52	62	63	30	69	133	94
ENSG00000286989	16	17	15	21	15	18	19	15	27	27	12
ENSG00000272106	13	11	20	11	9	16	18	13	18	21	21
ENSG00000197530	314	250	210	314	218	286	232	249	209	232	160
ENSG00000189409	0	0	0	0	0	0	0	0	0	1	0
ENSG00000248333	161	190	147	175	91	139	129	143	116	131	110
ENSG00000272004	2	4	4	1	4	3	3	3	2	4	2
ENSG00000189339	434	366	270	357	232	258	302	302	320	302	234
ENSG00000269737	12	10	20	17	26	29	23	17	35	28	29
ENSG00000215914	4	0	0	1	0	0	1	1	1	1	1
ENSG00000008128	17	9	13	18	8	11	12	6	9	17	9
ENSG00000268575	24	16	23	26	18	22	28	21	17	42	23
ENSG00000227775	117	96	118	110	79	107	91	79	97	110	71
ENSG00000215790	333	279	259	236	199	207	249	262	258	257	216
